date,actual_return,actual_direction
2021-06-18 00:00:00-04:00,0.0140444578477561,1
2021-06-21 00:00:00-04:00,0.0124120049545736,1
2021-06-22 00:00:00-04:00,0.0050832473424191,1
2021-06-23 00:00:00-04:00,-0.0073633526643019,-1
2021-06-24 00:00:00-04:00,-0.0003743085477302,-1
2021-06-25 00:00:00-04:00,0.0104188590217933,1
2021-06-28 00:00:00-04:00,0.0101631302135169,1
2021-06-29 00:00:00-04:00,0.0031577784788173,1
2021-06-30 00:00:00-04:00,0.0095167240618023,1
2021-07-01 00:00:00-04:00,0.0157361519120379,1
2021-07-02 00:00:00-04:00,0.0247733098068004,1
2021-07-06 00:00:00-04:00,-0.0136546553936284,-1
2021-07-07 00:00:00-04:00,0.0082637862284041,1
2021-07-08 00:00:00-04:00,0.0242383421234791,1
2021-07-09 00:00:00-04:00,-0.0149100079763795,-1
2021-07-12 00:00:00-04:00,0.0282578622440724,1
2021-07-13 00:00:00-04:00,0.007697592480861,1
2021-07-14 00:00:00-04:00,-0.0052267033179681,-1
2021-07-15 00:00:00-04:00,-0.0317255263146313,-1
2021-07-16 00:00:00-04:00,-0.002017548776749,-1
2021-07-19 00:00:00-04:00,0.0144294905637625,1
2021-07-20 00:00:00-04:00,0.0028171378728687,1
2021-07-21 00:00:00-04:00,0.0110319661867578,1
2021-07-22 00:00:00-04:00,0.0048795494953175,1
2021-07-23 00:00:00-04:00,0.0057325229187286,1
2021-07-26 00:00:00-04:00,-0.0289026128140744,-1
2021-07-27 00:00:00-04:00,-0.0008285583616365,-1
2021-07-28 00:00:00-04:00,-0.0021426107254004,-1
2021-07-29 00:00:00-04:00,0.0137137562157261,1
2021-07-30 00:00:00-04:00,-0.0037578583928477,-1
2021-08-02 00:00:00-04:00,0.0100131032231538,1
2021-08-03 00:00:00-04:00,-0.0019692347088357,-1
2021-08-04 00:00:00-04:00,-0.0027944168845164,-1
2021-08-05 00:00:00-04:00,-0.0010251103330672,-1
2021-08-06 00:00:00-04:00,0.0016416640900612,1
2021-08-09 00:00:00-04:00,-0.0026629449034253,-1
2021-08-10 00:00:00-04:00,0.0009585106312744,1
2021-08-11 00:00:00-04:00,0.0190161720597955,1
2021-08-12 00:00:00-04:00,-0.002886338666382,-1
2021-08-13 00:00:00-04:00,0.0113771864372483,1
2021-08-16 00:00:00-04:00,-0.0028622870195187,-1
2021-08-17 00:00:00-04:00,-0.0318423170289726,-1
2021-08-18 00:00:00-04:00,0.0166172480779211,1
2021-08-19 00:00:00-04:00,0.0059006651652051,1
2021-08-20 00:00:00-04:00,0.007686637878534,1
2021-08-23 00:00:00-04:00,0.00240867893659,1
2021-08-24 00:00:00-04:00,-0.0097455042968845,-1
2021-08-25 00:00:00-04:00,-0.005864317574654,-1
2021-08-26 00:00:00-04:00,0.0103062117460133,1
2021-08-27 00:00:00-04:00,0.0245638143833578,1
2021-08-30 00:00:00-04:00,0.0011135989972825,1
2021-08-31 00:00:00-04:00,0.0068049735442264,1
2021-09-01 00:00:00-04:00,-0.0007149877563084,-1
2021-09-02 00:00:00-04:00,0.0078695311379383,1
2021-09-03 00:00:00-04:00,0.0129698777090192,1
2021-09-07 00:00:00-04:00,-0.0094913618328348,-1
2021-09-08 00:00:00-04:00,-0.0031512009747655,-1
2021-09-09 00:00:00-04:00,-0.0281935933035401,-1
2021-09-10 00:00:00-04:00,-0.0018589907154224,-1
2021-09-13 00:00:00-04:00,-0.0119054563015477,-1
2021-09-14 00:00:00-04:00,-0.0008078920434763,-1
2021-09-15 00:00:00-04:00,0.0025601568093527,1
2021-09-16 00:00:00-04:00,-0.0337321620868311,-1
2021-09-17 00:00:00-04:00,0.000903920750995,1
2021-09-20 00:00:00-04:00,0.0036127936865871,1
2021-09-21 00:00:00-04:00,0.015230517326,1
2021-09-22 00:00:00-04:00,-0.0067508483445101,-1
2021-09-23 00:00:00-04:00,-0.0013045457056488,-1
2021-09-24 00:00:00-04:00,-0.0152607462746512,-1
2021-09-27 00:00:00-04:00,-0.0054448142297439,-1
2021-09-28 00:00:00-04:00,0.0083521753163438,1
2021-09-29 00:00:00-04:00,-0.0122508807779242,-1
2021-09-30 00:00:00-04:00,-0.0009866802946469,-1
2021-10-01 00:00:00-04:00,-0.0160131243972998,-1
2021-10-04 00:00:00-04:00,-0.0001434446933034,-1
2021-10-05 00:00:00-04:00,0.0257404679104431,1
2021-10-06 00:00:00-04:00,0.0067806407096977,1
2021-10-07 00:00:00-04:00,-0.0122199191041985,-1
2021-10-08 00:00:00-04:00,0.0067475487022647,1
2021-10-11 00:00:00-04:00,-0.0138934560742521,-1
2021-10-12 00:00:00-04:00,0.0061598266732246,1
2021-10-13 00:00:00-04:00,0.0116807126999391,1
2021-10-14 00:00:00-04:00,-0.0022258728021328,-1
2021-10-15 00:00:00-04:00,0.0248172738556945,1
2021-10-18 00:00:00-04:00,0.0114961553123723,1
2021-10-19 00:00:00-04:00,0.0007395204449118,1
2021-10-20 00:00:00-04:00,0.0059137561874533,1
2021-10-21 00:00:00-04:00,-0.0067477606756799,-1
2021-10-22 00:00:00-04:00,0.0043720010539557,1
2021-10-25 00:00:00-04:00,0.000200905594995,1
2021-10-26 00:00:00-04:00,0.0030797625102116,1
2021-10-27 00:00:00-04:00,-0.0173542047403645,-1
2021-10-28 00:00:00-04:00,0.0120229925423556,1
2021-10-29 00:00:00-04:00,-0.00221508305532,-1
2021-11-01 00:00:00-04:00,0.011637362148199,1
2021-11-02 00:00:00-04:00,0.0079127508919886,1
2021-11-03 00:00:00-04:00,0.0035075808860842,1
2021-11-04 00:00:00-04:00,-0.0031602662225417,-1
2021-11-05 00:00:00-04:00,-0.0079912606211575,-1
2021-11-08 00:00:00-05:00,-0.001198402550042,-1
2021-11-09 00:00:00-05:00,-0.0070658473011828,-1
2021-11-10 00:00:00-05:00,-0.0035580257750118,-1
2021-11-11 00:00:00-05:00,0.0130703045655043,1
2021-11-12 00:00:00-05:00,-0.0028598187871068,-1
2021-11-15 00:00:00-05:00,0.007069365587326,1
2021-11-16 00:00:00-05:00,0.0179470518713758,1
2021-11-17 00:00:00-05:00,0.0256325772678157,1
2021-11-18 00:00:00-05:00,0.0255629373831592,1
2021-11-19 00:00:00-05:00,-0.0034633134717599,-1
2021-11-22 00:00:00-05:00,-0.0022964273085385,-1
2021-11-23 00:00:00-05:00,-0.0073408151303367,-1
2021-11-24 00:00:00-05:00,-0.0012531838569028,-1
2021-11-26 00:00:00-05:00,0.0038902386799462,1
2021-11-29 00:00:00-05:00,0.0468153962221607,1
2021-11-30 00:00:00-05:00,-0.0521853707557773,-1
2021-12-01 00:00:00-05:00,0.0332619912529669,1
2021-12-02 00:00:00-05:00,0.001646167596571,1
2021-12-03 00:00:00-05:00,0.0291556930249329,1
2021-12-06 00:00:00-05:00,0.0180388656773138,1
2021-12-07 00:00:00-05:00,0.0161505573706977,1
2021-12-08 00:00:00-05:00,0.0017154989119478,1
2021-12-09 00:00:00-05:00,0.0337307374981908,1
2021-12-10 00:00:00-05:00,-0.0324095661802797,-1
2021-12-13 00:00:00-05:00,-0.0007988270910489,-1
2021-12-14 00:00:00-05:00,0.0238138082825528,1
2021-12-15 00:00:00-05:00,-0.052153272729821,-1
2021-12-16 00:00:00-05:00,-0.0097099078369447,-1
2021-12-17 00:00:00-05:00,0.0194915751319871,1
2021-12-20 00:00:00-05:00,0.0086263630705233,1
